network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
erdos_renyi,0,158,1.0,0.38,0.0,0,1.735720618480927
erdos_renyi,0,159,0.98,0.2857142857142857,0.2857142857142857,98,1.735720618480927
erdos_renyi,0,160,0.93,0.20430107526881722,0.20430107526881722,93,1.6110913787807677
erdos_renyi,0,161,0.93,0.20430107526881722,0.0,0,1.7010913787807678
erdos_renyi,0,162,0.98,0.3163265306122449,0.0,0,1.8610913787807677
erdos_renyi,0,163,0.87,0.1724137931034483,0.0,0,1.8610913787807677
erdos_renyi,0,164,0.99,0.3434343434343434,0.0,0,1.8610913787807677
erdos_renyi,0,165,0.9,0.18888888888888888,0.0,0,1.9360913787807679
erdos_renyi,0,166,0.99,0.3434343434343434,0.0,0,2.096091378780768
erdos_renyi,0,167,0.99,0.3434343434343434,0.0,0,2.096091378780768
erdos_renyi,0,168,0.85,0.1411764705882353,0.0,0,2.1510913787807677
erdos_renyi,0,169,1.0,0.54,0.0,0,2.1510913787807677
erdos_renyi,0,170,0.99,0.4444444444444444,0.4444444444444444,99,2.0100045834307654
erdos_renyi,0,171,0.99,0.36363636363636365,0.0,0,2.0100045834307654
erdos_renyi,0,172,0.63,0.1111111111111111,0.0,0,2.0450045834307655
erdos_renyi,0,173,0.92,0.1956521739130435,0.0,0,2.1300045834307655
erdos_renyi,0,174,0.9,0.18888888888888888,0.18888888888888888,90,2.014098119481812
erdos_renyi,0,175,1.0,0.35,0.0,0,2.1940981194818123
erdos_renyi,0,176,0.74,0.13513513513513514,0.0,0,2.2390981194818123
erdos_renyi,0,177,0.91,0.1978021978021978,0.1978021978021978,91,2.2390981194818123
erdos_renyi,0,178,0.9,0.18888888888888888,0.0,0,2.2390981194818123
erdos_renyi,0,179,0.93,0.22580645161290322,0.22580645161290322,93,2.2390981194818123
erdos_renyi,0,180,1.0,0.42,0.42,100,2.2390981194818123
erdos_renyi,0,181,0.74,0.13513513513513514,0.13513513513513514,74,2.2390981194818123
erdos_renyi,0,182,0.93,0.22580645161290322,0.22580645161290322,93,2.1391619320544417
erdos_renyi,0,183,0.74,0.13513513513513514,0.13513513513513514,74,2.1391619320544417
erdos_renyi,0,184,0.79,0.13924050632911392,0.0,0,2.1391619320544417
erdos_renyi,0,185,0.99,0.42424242424242425,0.42424242424242425,99,2.1391619320544417
